most popular products purchased online,Female,Male
Airline ticketes,35%,55%
Hotel reservations/Tourism services,20%,24%
Clothing/accessories/shoes,26%,15%
Books,16%,15%
Electronic equipment,10%,16%
Computer software,9%,15%
Computer hardware,8%,10%
Videos/DVDs/games,10%,10%
Music,9%,9%
Event/concert/aports tickets,8%,9%
Cosmetics/health supplies,13%,4%
Home equipment,9%,6%
Sporting goods,5%,5%
Automobiles and parts,4%,6%
Groceries,5%,5%
Toys/dolls,6%,4%
Sports memorabilia,2%,2%
Others,8%,7%
None/Don't remember,40%,28%
