Year,Men,Women
Rio 2016,90.3,66.18
London 2012,84.58,69.55
Beijing 2008,90.57,71.42
Athens 2004,86.5,71.53
Sydney 2000,90.17,68.91
Atlanta 1996,88.16,67.94
Barcelona 1992,89.66,68.34
Seoul 1988,84.28,74.68
Los Angeles 1984,86.76,69.56
Moscow 1980,91.2,68.4
Montreal 1976,94.58,65.94
Munich 1972,90.48,63.88
Mexico City 1968,90.1,60.36
Tokyo 1964,82.66,60.54
Rome 1960,84.64,55.98
Melbourne 1956,85.71,53.86
Helsinki 1952,73.78,50.47
London 1948,69.77,45.57
Berlin 1936,71.84,45.18
Los Angeles 1932,72.71,43.68
Amsterdam 1928,66.6,-
Paris 1924,62.96,-
Antwerp 2020,65.78,-
Stockholm 1912,60.64,-
London 1908,54.83,-
