Response,<$250k,$250k - $499k,$500k - $999k,$1m+
Ag magazines or newspapers,77%,82%,83%,82%
Ag newsletters (printed),41%,43%,46%,56%
Ag e-newsletters,30%,33%,41%,53%
Ag websites,23%,38%,43%,54%
Ag TV programs,36%,46%,36%,26%
Ag radio programs,29%,35%,42%,34%
Ag-related direct mail,27%,35%,43%,39%
Ag-related direct e-mail,18%,30%,38%,45%
Ag-related websites on a mobile device,12%,29%,34%,43%
Ag-related apps on a mobile device,10%,26%,26%,33%
Ag-related text messages,9%,24%,23%,36%
Ag dealers/retailers,11%,13%,21%,19%
Ag manufacturer or supplier publications,13%,17%,12%,19%
Ag-related social media,9%,13%,12%,14%
Ag consultants,4%,7%,14%,22%
Ag-related webinars,2%,1%,4%,4%
