Year,Male,Female
2029*,1245,1867
2028*,1244,1866
2027*,1243,1865
2026*,1241,1863
2025*,1236,1856
2024*,1232,1850
2023*,1228,1844
2022*,1225,1838
2021*,1223,1834
2020*,1222,1830
2019*,1221,1827
2018*,1217,1819
2017,1220,1785
2016,1222,1751
2015,1222,1720
2014,1211,1703
2013,1201,1700
2012,1205,1705
2011,1210,1722
2010,1209,1728
2009,1174,1688
2008,1122,1615
2007,1088,1556
2006,1061,1514
2005,1047,1476
2004,1047,1444
2003,1033,1398
2002,1010,1345
2001,956,1256
2000,944,1213
1999,931,1179
1998,923,1147
1997,927,1124
1996,932,1108
1995,941,1089
1994,950,1066
1993,944,1037
1992,941,1009
1991,931,989
1990,904,955
1989,879,917
1988,864,875
1987,864,857
1986,867,839
1985,856,794
1984,857,767
1983,865,753
1982,861,740
1981,867,750
1980,874,748
1979,863,709
1978,880,696
1977,892,677
1976,905,673
