Quarter,Game,Tools,Entertainment,Social,Communication,Photography,Video players
Q1 '16,5530,1110,621,-,741,729,-
Q2 '16,5280,1160,613,-,786,731,-
Q3 '16,6060,1210,684,-,831,788,-
Q4 '16,6250,1300,874,-,931,830,-
Q1 '17,6910,1250,974,-,1040,888,-
Q2 '17,6760,1300,967,-,958,849,-
Q3 '17,7040,1220,1010,-,1010,892,-
Q4 '17,7030,1290,1010,698,1020,883,-
Q1 '18,7150,1240,1080,686,910,-,-
Q2 '18,7840,1300,1150,749,936,858,-
Q3 '18,7180,1450,1370,939,1100,951,-
Q4 '18,7230,1470,1410,1060,1120,-,-
Q1 '19,7460,1470,1470,1050,1060,-,-
Q2 '19,8180,1450,1370,1040,1010,-,711
Q3 '19,8690,1490,1200,1000,972,-,-
Q4 '19,8590,1370,998,1080,1080,-,-
Q1 '20,10350,1550,1210,1150,1070,-,-
