Month,Detached,Semi-detached,Terraced,Flat/maisonette,All
Aug '20,382390.94,239356.18,203504.37,221211.21,251439.29
Jul '20,377201.51,236459.07,202462.22,222069.24,249481.33
Jun '20,373494.13,234330.36,201067.65,221682.72,247641.35
May '20,368401.96,230510.49,196249.81,217774.6,243178.23
Apr '20,369218.78,227264.04,196075.46,216963.13,242090.88
Mar '20,371401.97,230820.58,198215.08,222477.45,245357.82
Feb '20,366555.75,228369.46,196478.02,218910.66,242501.38
Jan '20,368308.01,229551.37,196334.2,222078.05,243710.78
Dec '19,366660.79,228989.73,197189.79,222280.48,243611.18
Nov '19,368679.73,229785.04,196592.06,219348.04,243394.94
Oct '19,368442.01,230582.76,196915.26,222149.38,244266.58
Sep '19,368976.95,228757.72,198359.38,224768.46,244821.81
Aug '19,370020.07,229425.72,198631.7,221629.49,244677.8
Jul '19,366720.52,228195.0,196863.95,224398.12,243676.57
Jun '19,362987.62,226592.94,194521.35,221216.74,241121.66
May '19,361961.03,225669.71,194330.89,218986.91,240166.92
Apr '19,362050.12,224910.07,193600.74,220087.03,239906.52
Mar '19,360489.86,223791.34,191254.71,218797.71,238223.41
Feb '19,363715.57,223962.9,192000.7,220953.61,239489.52
Jan '19,364898.39,224313.88,191560.46,221035.78,239648.91
Dec '18,364137.96,226171.72,193980.93,224076.67,241553.67
Nov '18,366441.89,226244.72,194676.78,222672.21,241910.49
Oct '18,366990.72,226806.36,194906.75,225023.13,242732.33
Sep '18,367763.18,227160.89,195685.48,224512.43,243133.71
Aug '18,366840.08,227238.88,196475.2,225768.96,243538.67
Jul '18,366469.16,226202.62,195374.83,225634.86,242754.68
Jun '18,359780.86,224066.09,192692.48,224381.61,239813.36
May '18,358147.1,221904.15,191931.09,222455.1,238237.01
Apr '18,356089.58,220877.9,191152.22,221730.37,237168.54
Mar '18,354480.19,218733.33,189038.35,221045.8,235378.88
Feb '18,356936.31,219429.38,189520.65,224017.29,236762.14
Jan '18,354430.13,219057.5,188385.62,224313.46,235894.8
Dec '17,355187.13,220292.18,190657.47,224053.58,237169.67
Nov '17,353438.35,218976.27,189004.61,224172.75,235916.37
Oct '17,355980.32,219838.92,189636.94,224716.4,236917.3
Sep '17,355478.87,218727.62,190036.89,225472.61,236812.81
