Year and candidate,Democrat,Republican,Democratic Republican,Uncast ballot,Whig,States' Rights,Democrat (non-candidate),American Independent
2020: Donald Trump,-,6,-,-,-,-,-,-
2016: Donald Trump*,-,6,-,-,-,-,-,-
2012: Mitt Romney,-,6,-,-,-,-,-,-
2008: John McCain,-,6,-,-,-,-,-,-
2004: George W. Bush*,-,6,-,-,-,-,-,-
2000: George W. Bush*,-,7,-,-,-,-,-,-
1996: Bob Dole,-,7,-,-,-,-,-,-
1992: George H. W. Bush,-,7,-,-,-,-,-,-
1988: George H. W. Bush*,-,7,-,-,-,-,-,-
1984: Ronald Reagan*,-,7,-,-,-,-,-,-
1980: Ronald Reagan*,-,7,-,-,-,-,-,-
1976: Jimmy Carter*,7,-,-,-,-,-,-,-
1972: Richard Nixon*,-,7,-,-,-,-,-,-
1968: George Wallace,-,-,-,-,-,-,-,7
1964: Barry M. Goldwater,-,7,-,-,-,-,-,-
1960: Harry F. Byrd,-,-,-,-,-,-,8,-
1956: Adlai Stevenson,8,-,-,-,-,-,-,-
1952: Adlai Stevenson,8,-,-,-,-,-,-,-
1948: Strom Thurmond,-,-,-,-,-,9,-,-
1944: Franklin D. Roosevelt*,9,-,-,-,-,-,-,-
1940: Franklin D. Roosevelt*,9,-,-,-,-,-,-,-
1936: Franklin D. Roosevelt*,9,-,-,-,-,-,-,-
1932: Franklin D. Roosevelt*,9,-,-,-,-,-,-,-
1928: Al Smith,10,-,-,-,-,-,-,-
1924: John W. Davis,10,-,-,-,-,-,-,-
1920: James M. Cox,10,-,-,-,-,-,-,-
1916: Woodrow Wilson*,10,-,-,-,-,-,-,-
1912: Woodrow Wilson*,10,-,-,-,-,-,-,-
1908: William Jennings Bryan,10,-,-,-,-,-,-,-
1904: Alton B. Parker,10,-,-,-,-,-,-,-
1900: William Jennings Bryan,9,-,-,-,-,-,-,-
1896: William Jennings Bryan,9,-,-,-,-,-,-,-
1892: Grover Cleveland*,9,-,-,-,-,-,-,-
1888: Grover Cleveland,9,-,-,-,-,-,-,-
1884: Grover Cleveland*,9,-,-,-,-,-,-,-
1880: Winfield Hancock,8,-,-,-,-,-,-,-
1876: Samuel J. Tilden,8,-,-,-,-,-,-,-
1872: Ulysses S. Grant*,-,8,-,-,-,-,-,-
1868: Not yet restored to Union,-,-,-,-,-,-,-,-
1864: Seceded from Union,-,-,-,-,-,-,-,-
1860: John C. Breckenridge,7,-,-,-,-,-,-,-
1856: James Buchanan*,7,-,-,-,-,-,-,-
1852: Franklin Pierce*,7,-,-,-,-,-,-,-
1848: Lewis Cass,6,-,-,-,-,-,-,-
1844: James K. Polk*,6,-,-,-,-,-,-,-
1840: William Henry Harrison*,-,-,-,-,4,-,-,-
1836: Martin Van Buren*,4,-,-,-,-,-,-,-
1832: Andrew Jackson*,4,-,-,-,-,-,-,-
1828: Andrew Jackson*,3,-,-,-,-,-,-,-
1824: Andrew Jackson,-,-,3,-,-,-,-,-
1820**: James Monroe*,-,-,2,1,-,-,-,-
