Month,Other businesses,Arcade operations,Amusement equipment,Digital contents
"April 1, 2019 to March 31, 2020",3.01,12.1,6.53,59.94
"April 1, 2018 to March 31, 2019",2.58,11.05,3.42,82.98
"April 1, 2017 to March 31, 2018",2.34,10.23,7.8,74.14
"April 1, 2016 to March 31, 2017",2.08,9.53,16.86,58.7
"April 1, 2015 to March 31, 2016",2.04,9.06,13.34,52.58
"April 1, 2014 to March 31, 2015",2.14,9.24,7.54,45.35
"April 1, 2013 to March 31, 2014",2.59,10.62,23.16,65.82
"April 1, 2012 to March 31, 2013",2.71,10.94,16.78,63.64
"April 1, 2011 to March 31, 2012",2.86,11.73,7.66,59.81
"April 1, 2010 to March 31, 2011",3.89,11.62,7.9,74.3
"April 1, 2009 to March 31, 2010",3.05,11.99,4.55,47.25
"April 1, 2008 to March 31, 2009",2.82,13.51,8.93,66.62
"April 1, 2007 to March 31, 2008",2.95,13.41,10.93,55.85
