Agency,Revenue 2019 (in million euros),Change on 2018 (in percent),Number of employees 2019
Reply - Digital Experience,138.53,27.1,958
PIA Group,114.14,47.8,915
Plan.Net Gruppe,101.5,3.5,988
team neusta,92.04,-,1099
diva-e,78.29,7.3,702
Valtech GmbH,72.31,-1.6,478
C3 Creative Code and Content GmbH,63.81,20.1,488
mgm technology partner,57.22,3.9,405
]init[ AG,54.33,32.5,592
fischerAppelt AG,49.65,34.2,387
SYZYGY AG,48.49,5.8,450
Digitas Pixelpark,47.52,-,476
intive,39.71,75.4,251
TWT Digital Group,36.43,3.1,360
Dept,32.77,1,398
Sybit GmbH,28.52,20.6,183
AOE GmbH,28.39,-,183
Namics [Deutschland] GmbH  - A Merkle Company,26.5,-10.8,237
pilot Agenturgruppe,25.22,9.2,193
EWERK  GROUP,24.56,25.8,205
dotSource GmbH,22.97,42.3,254
ARITHNEA,21.49,-3.4,235
Ray Sono AG,20.49,-3.4,220
ressourcenmangel,20.08,12.4,223
Experience One,19.4,4.3,166
denkwerk GmbH,18.6,-7,192
achtung! GmbH,17.81,45.5,185
Saint Elmo`s,17.18,-7.3,172
neuland - Büro für Informatik GmbH,17.06,-1.1,115
Mindcurv GmbH,16.25,33.6,210
