Month,Finished pharmaceutical products,Nutritional supplements,Pharmaceutical cosmetics,Other parapharmaceuticals
Sep 28-Oct 4,3.2%,5.3%,-10.6%,-0.3%
Sep 21-27,-2.3%,5.9%,-12.1%,2.2%
Sep 14-20,5.3%,7.9%,-11.1%,0.6%
Sep 7-13,17.2%,6.7%,-15.6%,0.7%
Aug 31-Sep 6,20.5%,10.7%,-10.4%,2%
Aug 24-30,21%,19.3%,-7.5%,5%
Aug 17-23,15.6%,9.9%,-10.7%,3.6%
Aug 10-16,18%,17.8%,-8.1%,11.5%
Aug 3-9,3.5%,10.5%,-12.4%,2.2%
Jul 27-Aug 2,10.2%,12.1%,-15.5%,2.2%
Jul 20-26,9.4%,13.3%,-18%,5.9%
Jul 13-19,4.7%,8.7%,-15.8%,1.6%
Jul 6-12,-6.2%,3.6%,-13.4%,-3.5%
Jun 29-Jul 5,-6.6%,5%,-7.7%,-1.8%
Jun 22-28,-5.8%,11.9%,-6.3%,-2.1%
Jun 15-21,-4.5%,14.4%,-11.4%,1.7%
Jun 8-14,-5.1%,-7.3%,8%,3%
Jun 1-7,-16.4%,6.6%,-22.1%,-13.3%
May 25-31,-4.3%,-5.1%,0.2%,-0.3%
May 18-24,-6.9%,10.8%,-14.2%,-8.5%
May 11-17,-4.6%,4.3%,-13.8%,0.9%
May 4-10,-5.4%,8.1%,-8.2%,3.2%
Apr 27-May 3,2.2%,16%,4.5%,0%
Apr 20-26,8%,16.9%,1.2%,-3.4%
Apr 13-19,14.6%,18.3%,20.1%,5.5%
Apr 6-12,17.5%,24.4%,25.1%,14.5%
Mar 30-Apr 5,37.5%,50.6%,31.8%,22.8%
Mar 23-29,72%,65.7%,38.4%,44.7%
Mar 16-22,95.4%,78.9%,32.3%,72.3%
Mar 9-15,37%,27.6%,16.9%,31.8%
Mar 2-8,21.4%,18%,1.8%,19%
Feb 24-Mar 1,17%,14.4%,2.4%,6.7%
Feb 17-23,11.5%,21.2%,3.6%,11.7%
Feb 10-16,11.2%,11.3%,3.5%,11.7%
Feb 3-9,3.9%,9.5%,6.7%,9.7%
Jan 27-Feb 2,4%,9.8%,7.7%,11.4%
Jan 20-26,6.1%,9.7%,3.8%,10.6%
Jan 13-19,2.1%,4.9%,-4.2%,5.9%
Jan 6-12,-6.6%,-1%,-13.7%,-6.5%
Dec 30-Jan 5,-8.2%,6.6%,-4.1%,-1.6%
