Year,A (H1N1),A (H3),A (Not subtyped),B (Yamagata),B (Victoria),B (Not determined)
52,1203,86,5994,24,1301,11587
51,910,50,3715,16,1091,8845
50,619,78,2162,15,806,5410
49,513,84,1428,14,656,3658
48,370,83,1086,10,500,2936
47,258,78,905,10,423,2755
46,149,58,540,10,330,1678
45,122,74,421,10,236,1149
44,52,61,224,5,120,595
43,53,78,204,5,96,374
42,36,82,174,3,77,200
41,33,64,168,2,71,188
40,25,57,157,1,56,131
39,18,60,171,0,49,329
38,27,59,171,0,46,258
37,12,69,166,2,44,182
36,16,54,145,1,29,231
35,14,34,146,0,29,226
34,19,38,95,0,32,118
33,20,34,81,0,38,94
32,7,33,79,0,16,88
31,14,30,106,2,10,86
30,19,29,106,0,11,88
29,12,55,109,0,10,81
28,10,42,103,1,9,83
27,29,41,132,1,13,89
26,21,48,95,3,12,100
25,19,52,111,0,13,99
24,21,57,136,2,19,140
23,26,54,147,1,32,226
22,23,55,216,11,25,249
21,29,67,280,3,27,261
20,43,82,336,7,40,279
19,45,94,418,9,41,297
18,65,158,640,11,40,345
17,87,218,1032,14,39,475
16,130,354,1898,19,50,536
15,217,660,3210,18,58,638
14,336,889,4904,20,70,684
13,472,1110,7695,25,66,698
12,745,1402,10349,19,50,689
11,1052,1828,13412,31,56,611
10,1292,1829,13258,27,42,491
9,1377,1785,13498,10,34,474
8,1480,1501,13759,12,28,532
7,1703,1305,13375,18,29,532
6,1878,1202,13197,11,18,446
5,1678,806,10732,18,24,300
4,1546,511,8426,9,17,262
3,1475,366,6783,16,17,195
2,1429,233,5175,20,4,230
1,1182,305,5400,17,6,158
