main macroeconomic indicators,Oct '19,Nov '19,Dec '19,Jan '20,Feb '20,March '20,Apr '20,May '20,Jun '20,Jul' 20,Aug '20,Sep '20
Industrial production***,-4.2%,-5.4%,-3.5%,-2.1%,-2.4%,-12.7%,-38.6%,-30.3%,-11%,-6.5%,-3.8%,0%
Non-farming private sector*,4.5%,2%,5%,10.3%,8.9%,-1%,-24.1%,-20.8%,-7%,-2.9%,-2.4%,1.7%
Services*,6.2%,2.7%,7%,10.7%,12.4%,0%,-21.9%,-20.7%,-7.6%,-3.6%,-4%,0.1%
Import**,4.1%,2.9%,8.6%,7%,4.7%,-7.1%,-32.3%,-34.2%,-10.9%,-13%,-7.5%,-2.5%
Services rendered mainly to enterprises**,8.2%,3.1%,9.4%,13.8%,16.9%,9.6%,-7.7%,-10.5%,-0.7%,0.8%,0.3%,6.6%
Export**,5%,3.9%,9.1%,4.6%,4.9%,-8.7%,-39.7%,-36.4%,-11.8%,-10%,-10.8%,-7.2%
Wholesale trade**,6.3%,5.8%,7.1%,13.1%,12.9%,15.7%,-8.8%,-9.3%,2.8%,3.7%,2.2%,2%
Retail trade***,6.9%,6.6%,9.3%,11.2%,13.8%,4.1%,-19.4%,-5.5%,2.9%,5.1%,1.6%,4.6%
Trade and repair of motor vehicles***,11.7%,9.1%,4.5%,3.7%,3.4%,-13.6%,-45.1%,-34.6%,-6.8%,0.9%,1.8%,5.8%
Households' consumption*,10.5%,10.4%,12.4%,13%,10.7%,-17.8%,-51.1%,-41.4%,-19.5%,-8.6%,-8.9%,-8.6%
Services provided to the population***,13.6%,14.4%,17.7%,17.4%,9.8%,-40.1%,-83.3%,-77.7%,-44.6%,-24.4%,-22%,-25.3%
Construction works***,27.5%,27.2%,24.8%,49.8%,24.6%,33.1%,11.4%,10.6%,10.4%,13.4%,13%,18.7%
