Country,2007,2008,2009 *,2010 *
Ireland,6.0,-2.3,-8.0,-3.0
Japan,2.4,-0.6,-6.2,0.5
Germany,2.5,1.3,-5.6,-1.0
Finland,4.2,0.9,-5.2,-1.2
Netherlands,3.5,2.0,-4.8,-0.7
Luxembourg,5.2,0.7,-4.8,-0.2
Italy,1.6,-1.0,-4.4,-0.4
Portugal,1.9,0.0,-4.1,-0.5
Great Britain,3.0,0.7,-4.1,-0.4
Belgium,2.6,1.1,-3.8,0.3
France,2.1,0.7,-3.0,0.4
Austria,3.1,1.8,-3.0,0.2
Spain,3.7,1.2,-3.0,-0.7
USA,2.0,1.1,-2.8,0.0
Slovenia,6.8,3.5,-2.7,1.4
Canada,2.7,0.5,-2.5,1.2
Slovakia,10.4,6.4,-2.1,1.9
Malta,3.6,1.6,-1.5,1.1
Greece,4.0,2.9,-0.2,-0.6
Cyprus,4.4,3.7,0.3,2.1
