Month,Android,iOS,Samsung,Windows,Symbian/ Nokia/ Series 40,BlackBerry OS
Sep 20,70.3%,29.05%,0.46%,0.07%,0.04%,0.02%
Jul 20,71.8%,27.59%,0.46%,0.06%,0.04%,-
May 20,69.64%,29.74%,0.43%,0.05%,0.03%,0.02%
Mar 20,70.03%,29.19%,0.54%,0.12%,0.02%,0.02%
Jan 20,70.36%,28.91%,0.48%,0.13%,0.03%,0.02%
Nov 19,71.13%,28.15%,0.41%,0.2%,0.03%,0.02%
Sep 19,71.36%,27.86%,0.43%,0.24%,0.03%,0.02%
Jul 19,73.73%,25.41%,0.43%,0.31%,0.03%,0.02%
May 19,70.78%,28.32%,0.4%,0.36%,0.04%,0.03%
Mar 19,71.05%,27.96%,0.43%,0.41%,0.05%,0.03%
Jan 19,68.6%,30.43%,0.43%,0.39%,0.05%,0.03%
Nov 18,62.33%,36.34%,0.51%,0.59%,0.06%,0.04%
Sep 18,71.07%,27.77%,0.4%,0.54%,0.05%,0.04%
Jul 18,71.78%,26.93%,0.32%,0.69%,0.06%,0.05%
May 18,69.08%,29.5%,0.37%,0.75%,0.07%,0.05%
Mar 18,65.53%,32.99%,0.38%,0.73%,0.07%,0.05%
Jan 18,65.75%,32.65%,0.37%,0.84%,0.05%,0.07%
Nov 17,65.89%,32.38%,0.36%,0.98%,0.06%,0.08%
Sep 17,67.01%,31%,0.37%,1.16%,0.08%,0.1%
Jul 17,70.37%,27.24%,0.38%,1.48%,0.09%,0.13%
May 17,67.59%,30.07%,0.31%,1.45%,0.09%,0.14%
Mar 17,67.33%,30.07%,0.35%,1.59%,0.11%,0.13%
Jan 17,66.88%,30.5%,0.34%,1.65%,0.13%,0.14%
Nov 16,66.95%,30.18%,0.31%,1.97%,0.13%,0.16%
Sep 16,68.34%,28.4%,0.36%,2.15%,0.15%,0.18%
Jul 16,67.61%,28.87%,0.3%,2.29%,0.03%,0.21%
May 16,66.75%,29.29%,0.34%,2.46%,0.05%,0.22%
Mar 16,67.65%,28.46%,0.32%,2.44%,0.05%,0.2%
Jan 16,66.48%,29.6%,0.26%,2.59%,0.06%,0.23%
Nov 15,67.21%,28.98%,0.17%,2.57%,0.07%,0.23%
Sep 15,67.67%,28.34%,0.09%,2.73%,0.09%,0.25%
Jul 15,67.63%,28.59%,0.06%,2.57%,0.12%,0.3%
May 15,67.82%,28.51%,0.05%,2.53%,0.1%,0.26%
Mar 15,68.7%,27.79%,0.04%,2.44%,0.13%,0.24%
Jan 15,68.39%,28.23%,0.05%,2.28%,0.12%,0.23%
Nov 14,71.27%,25.49%,0.04%,2.26%,0.11%,0.18%
Sep 14,72.29%,24.57%,0.04%,2.06%,0.12%,0.15%
Jul 14,70.2%,26.44%,0.05%,2.14%,0.17%,0.19%
May 14,67.21%,28.9%,0.08%,2.03%,0.21%,0.2%
Mar 14,64.99%,30.89%,0.13%,2.5%,0.36%,0.24%
Jan 14,63.31%,32.3%,0.17%,2.62%,0.41%,0.22%
Nov 13,62.78%,32.68%,0.26%,2.4%,0.54%,0.23%
Sep 13,62.73%,32.26%,0.29%,2.24%,0.7%,0.23%
Jul 13,60.31%,34.17%,0.29%,2.27%,0.82%,0.22%
May 13,58.4%,34.76%,0.41%,1.96%,1.22%,0.24%
Mar 13,57.86%,34.59%,0.54%,1.81%,1.35%,0.23%
Jan 13,55.79%,35.06%,0.84%,2.13%,1.68%,0.25%
Nov 12,53.68%,36.55%,1%,2.06%,1.96%,0.25%
Sep 12,51.31%,36.85%,1.33%,2.08%,2.34%,0.29%
Jul 12,46.92%,40.19%,1.32%,1.91%,2.7%,0.37%
May 12,41.02%,42.65%,1.97%,1.63%,4.6%,0.44%
Mar 12,39.16%,48.09%,0.76%,1.58%,4.67%,0.47%
Jan 12,39.21%,47.95%,0.8%,1.43%,4.4%,0.47%
Nov 11,36.72%,49.21%,0.8%,1.52%,5.21%,0.59%
Sep 11,34.45%,50.26%,0.91%,1.64%,6.16%,0.67%
Jul 11,29.13%,53.95%,1.12%,1.63%,6.56%,0.87%
May 11,26.07%,56.66%,1.15%,1.46%,6.59%,0.7%
Mar 11,23.09%,57.95%,2.87%,1.07%,7.71%,0.62%
Jan 11,20.71%,59.29%,3.07%,0.56%,7.94%,0.66%
Nov 10,17.07%,60.49%,3.18%,-,9.38%,0.78%
Sep 10,14%,59.73%,3.61%,-,10.3%,0.98%
Jul 10,9.08%,60.8%,2.97%,-,12.27%,1.22%
May 10,4.2%,62.36%,2.65%,-,15.21%,0.94%
Mar 10,5.75%,62.98%,2.28%,-,15.09%,0.97%
Jan 10,3.48%,64.99%,2.26%,-,15.18%,0.78%
Nov 09,3.53%,62.12%,1.73%,-,17.57%,1.06%
Sep 09,3.38%,61.23%,1.4%,-,18.18%,0.93%
Jul 09,1.45%,66.02%,0.34%,-,14.2%,0.78%
May 09,0.25%,70.94%,-,-,16.89%,0.63%
Mar 09,0.9%,72.37%,-,-,15.01%,0.53%
Jan 09,0.05%,63.64%,-,-,20.57%,0.12%
