stadiums/arenas,Sport events,Concert/Show/Entertainment,Corporate events**,Other events***
Allianz Arena (Munich),25,-,579,-
Signal Iduna Park (Dortmund),13,-,-,368
Veltins-Arena (Gelsenkirchen),9,1,246,49
Weser-Stadion (Bremen),9,-,242,-
Borussia-Park (Mönchengladbach),10,1,200,-
Volkswagen Arena (Wolfsburg),15,-,179,-
Commerzbank-Arena (Frankfurt),9,5,151,1
BayArena (Leverkusen),10,1,155,-
Voith-Arena (Heidenheim),21,4,135,-
HDI-Arena (Hannover),16,42,80,14
Mercedes-Benz Arena (Stuttgart),13,3,125,-
Grundig Stadion (Nurnberg),19,1,78,14
