canton of Switzerland,Beginning of the epidemic,Last 14 days
Total,362180,51648
Zürich,52556,9706
Vaud,51916,4341
Geneva,40565,2362
Bern,32540,5614
Valais,23487,1604
Fribourg,21450,1422
St. Gallen,20414,4372
Aargau,20077,4302
Ticino,17770,2996
Lucerne,12034,2272
Neuchâtel,10519,1028
Basel-Landschaft,8021,2023
Thurgau,8008,1819
Solothurn,7587,1807
Basel-Stadt,6526,1300
Graubünden,6146,1184
Schwyz,5741,838
Jura,4052,316
Zug,3750,652
Schaffhausen,2256,545
Appenzell Ausserrhoden,1861,348
Glarus,1122,212
Obwalden,1100,159
Nidwalden,1053,190
Uri,1042,170
Appenzell Innerrhoden,587,66
