canton of Switzerland,Beginning of epidemic,Last 14 days
Geneva,8046.6,468.5
Valais,6797.5,464.2
Fribourg,6666.0,441.9
Vaud,6448.4,539.2
Neuchâtel,5959.9,582.4
Jura,5506.6,429.4
Ticino,5055.6,852.4
St. Gallen,3997.0,856.0
Appenzell Innerrhoden,3639.6,409.2
Schwyz,3577.4,522.2
Zürich,3414.3,630.6
Appenzell Ausserrhoden,3356.5,627.6
Basel-Stadt,3332.2,663.8
Bern,3130.4,540.1
Graubünden,3088.1,594.9
Zug,2937.9,510.8
Aargau,2927.3,627.3
Lucerne,2913.0,550.0
Obwalden,2900.1,419.2
Thurgau,2864.6,650.7
Uri,2839.0,463.2
Basel-Landschaft,2770.9,698.9
Glarus,2764.2,522.3
Solothurn,2756.4,656.5
Schaffhausen,2739.6,661.8
Nidwalden,2443.9,441.0
